{:beat=>0.000804, :phase=>0.000836, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>127085.7421875, :beat_zero=>127085.7421875}
{:beat=>1.000566, :phase=>1.000602, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>127086.2421875, :beat_zero=>127085.7421875}
{:beat=>2.001054, :phase=>2.00109, :playing?=>false, :tempo=>120.0, :peers=>2, :now=>127086.7421875, :beat_zero=>127085.7421875}
{:beat=>3.002268, :phase=>3.002326, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.25, :beat_zero=>127085.7421875}
{:beat=>4.001178, :phase=>0.001228, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.7421875, :beat_zero=>127085.7421875}
{:beat=>5.000826, :phase=>1.000874, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.25, :beat_zero=>127085.7421875}
{:beat=>6.001606, :phase=>2.001676, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.75, :beat_zero=>127085.7421875}
{:beat=>7.001064, :phase=>3.001118, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.25, :beat_zero=>127085.7421875}
{:beat=>8.002508, :phase=>0.00256, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.7421875, :beat_zero=>127085.7421875}
{:beat=>9.001632, :phase=>1.001684, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.2421875, :beat_zero=>127085.7421875}
{:beat=>10.002102, :phase=>2.002156, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.7421875, :beat_zero=>127085.7421875}
{:beat=>11.00151, :phase=>3.001566, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.2421875, :beat_zero=>127085.7421875}
{:beat=>12.002092, :phase=>0.00216, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.7421875, :beat_zero=>127085.7421875}
{:beat=>13.001024, :phase=>1.001076, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.2421875, :beat_zero=>127085.7421875}
{:beat=>14.002734, :phase=>2.002788, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.7421875, :beat_zero=>127085.7421875}
{:beat=>15.000874, :phase=>3.000928, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.2421875, :beat_zero=>127085.7421875}
{:beat=>16.001946, :phase=>0.001998, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.7421875, :beat_zero=>127085.7421875}
{:beat=>17.001238, :phase=>1.001294, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127094.2421875, :beat_zero=>127085.7421875}
{:beat=>18.001392, :phase=>2.001444, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127094.7421875, :beat_zero=>127085.7421875}
{:beat=>19.001506, :phase=>3.00156, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127095.2421875, :beat_zero=>127085.7421875}
{:beat=>20.002242, :phase=>0.002294, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127095.7421875, :beat_zero=>127085.7421875}
{:beat=>21.00142, :phase=>1.001474, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127096.2421875, :beat_zero=>127085.7421875}
{:beat=>22.001352, :phase=>2.001408, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127096.7421875, :beat_zero=>127085.7421875}
{:beat=>23.003108, :phase=>3.003162, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127097.2421875, :beat_zero=>127085.7421875}
